Speaker,Speech,Day,Primetime,Politician,Army
The broad and diverse America that fights for an inclusive and fair nation. Our union of black and brown, white and African and Asian people who love the Earth and know that climate change is real and value education. 
We will all step up to that podium with her. 
Listen, we continue the work of our heroes like John Lewis and Dolores Huerta, Cesar Chavez and Doctor Martin Luther King, and martyrs like Medgar Evers, who allow me to have the ability to speak from this podium. 
We fight for equal rights and workers' rights. 
We believe that women deserve equal pay for equal work in this country. 
And we will not stand idly by because we believe that Congress has to keep its hands off Planned Parenthood. 
We believe that people should be able to love who they love and marry who they want to marry in the United States of America. 
And we believe that when you send your children to school or young people are having fun at a nightclub or you walk a beat as a police officer or you walk down the street in your neighborhood in Chicago, you shouldn't fear being shot. We will take on the NRA with Hillary as president of the United States. 
Yes, we believe in a country where this son of uneducated parents born in Puerto Rico can speak to this nation on this podium in the city where the United States of America was born. 
With Hillary, our nation will be greater, better, and stronger.",1,,,

Marty Walsh,"Good evening. Good evening. Thank you, Massachusetts. Thank you. 
Good evening, delegates. My name is Marty Walsh, and I'm an alcoholic. 
On April 23, 1995, I hit rock bottom. I woke up with little memory of the night before and even less hope for the days to come. Everybody was losing faith in me. Everybody except my family and the labor movement. 
I followed my father into the building trades when I was 18-years-old. 
Labor gave my immigrant family a chance and the labor community got me the help I needed and got me a second chance. 
Eighteen years later, I became the mayor of Boston -- a city of big dreams and a big heart.
As mayor, I worked to get everyone a fair shot and a second chance, whether it's apprenticeships, free community college, or help starting a business. 
There's no doubt in my mind that Hillary Clinton is the champion of American workers needs. 
She will help workers get the skills, the jobs, and the child care they need to support strong families. 
She believes in an America that's not just for those with advantages; she believes in an America with those who need a helping hand -- people struggling with addiction, mom's working two jobs, students in debt, seniors struggling to retire, workers facing layoffs, and people like the carpenters and electricians Donald Trump hired but then refused to pay just because he did. 
We may not have our names in gold outside any buildings that we've worked on, but our sweat, our work, our pride is on the inside of every single one of them. Hillary Clinton knows that. 
She believes what I learned in my labor family -- we are stronger together. 
This is our choice. Are we gonna let Donald Trump stiff the working families so he can make more for himself and the people at the top? Or are we going to stick together and build an economy that works for everybody in America? 
I know where I stand. I stand with the women and men of every race, creed, color, who build this country. 
And I stand as a living example of Hillary Clinton's vision for an America where everyone gets a fair shot and a second chance to achieve their dreams. That's the America I believe in. That's the America I've lived. 
And that's why America's working people are going to vote and elect Hillary Clinton our next president. 
I want to thank you, and God bless the United States of America!",1,,,

Michelle Obama,"Thank you all. Thank you so much. You know, it's hard to believe that it has been eight years since I first came to this convention to talk with you about why I thought my husband should be President. Remember how I told you about his character and conviction, his decency and his grace -– the traits that we've seen every day that he's served our country in the White House.

I also told you about our daughters –- how they are the heart of our hearts, the center of our world. And during our time in the White House, we've had the joy of watching them grow from bubbly little girls into poised young women -– a journey that started soon after we arrived in Washington, when they set off for their first day at their new school.

I will never forget that winter morning as I watched our girls, just seven and ten years old, pile into those black SUVs with all those big men with guns. And I saw their little faces pressed up against the window, and the only thing I could think was, ''What have we done?'' See, because at that moment, I realized that our time in the White House would form the foundation for who they would become, and how well we managed this experience could truly make or break them.

That is what Barack and I think about every day as we try to guide and protect our girls through the challenges of this unusual life in the spotlight -- how we urge them to ignore those who question their father's citizenship or faith. How we insist that the hateful language they hear from public figures on TV does not represent the true spirit of this country. How we explain that when someone is cruel, or acts like a bully, you don't stoop to their level -– no, our motto is, when they go low, we go high. 

With every word we utter, with every action we take, we know our kids are watching us. We as parents are their most important role models. And let me tell you, Barack and I take that same approach to our jobs as President and First Lady, because we know that our words and actions matter not just to our girls, but to children across this country –- kids who tell us, ''I saw you on TV, I wrote a report on you for school.'' Kids like the little black boy who looked up at my husband, his eyes wide with hope, and he wondered, ''Is my hair like yours?'' 

And make no mistake about it, this November, when we go to the polls, that is what we're deciding -– not Democrat or Republican, not left or right. No, this election, and every election, is about who will have the power to shape our children for the next four or eight years of their lives. And I am here tonight because in this election, there is only one person who I trust with that responsibility, only one person who I believe is truly qualified to be President of the United States, and that is our friend, Hillary Clinton. 

See, I trust Hillary to lead this country because I've seen her lifelong devotion to our nation's children –- not just her own daughter, who she has raised to perfection –- but every child who needs a champion: Kids who take the long way to school to avoid the gangs. Kids who wonder how they'll ever afford college. Kids whose parents don't speak a word of English but dream of a better life. Kids who look to us to determine who and what they can be.

You see, Hillary has spent decades doing the relentless, thankless work to actually make a difference in their lives -- advocating for kids with disabilities as a young lawyer. Fighting for children's health care as First Lady and for quality child care in the Senate. And when she didn't win the nomination eight years ago, she didn't get angry or disillusioned. Hillary did not pack up and go home. Because as a true public servant, Hillary knows that this is so much bigger than her own desires and disappointments. So she proudly stepped up to serve our country once again as Secretary of State, traveling the globe to keep our kids safe. 

And look, there were plenty of moments when Hillary could have decided that this work was too hard, that the price of public service was too high, that she was tired of being picked apart for how she looks or how she talks or even how she laughs. But here's the thing -- what I admire most about Hillary is that she never buckles under pressure. She never takes the easy way out. And Hillary Clinton has never quit on anything in her life. 

And when I think about the kind of President that I want for my girls and all our children, that's what I want. I want someone with the proven strength to persevere. Someone who knows this job and takes it seriously. Someone who understands that the issues a President faces are not black and white and cannot be boiled down to 140 characters. Because when you have the nuclear codes at your fingertips and the military in your command, you can't make snap decisions. You can't have a thin skin or a tendency to lash out. You need to be steady, and measured, and well-informed. 

I want a President with a record of public service, someone whose life's work shows our children that we don't chase fame and fortune for ourselves, we fight to give everyone a chance to succeed -- and we give back, even when we're struggling ourselves, because we know that there is always someone worse off, and there but for the grace of God go I. 

I want a President who will teach our children that everyone in this country matters –- a President who truly believes in the vision that our founders put forth all those years ago: That we are all created equal, each a beloved part of the great American story. And when crisis hits, we don't turn against each other -– no, we listen to each other. We lean on each other. Because we are always stronger together. 

And I am here tonight because I know that that is the kind of president that Hillary Clinton will be. And that's why, in this election, I'm with her. 

You see, Hillary understands that the President is about one thing and one thing only -– it's about leaving something better for our kids. That's how we've always moved this country forward –- by all of us coming together on behalf of our children -- folks who volunteer to coach that team, to teach that Sunday school class because they know it takes a village. Heroes of every color and creed who wear the uniform and risk their lives to keep passing down those blessings of liberty. 

Police officers and protestors in Dallas who all desperately want to keep our children safe. People who lined up in Orlando to donate blood because it could have been their son, their daughter in that club. Leaders like Tim Kaine -- who show our kids what decency and devotion look like. Leaders like Hillary Clinton, who has the guts and the grace to keep coming back and putting those cracks in that highest and hardest glass ceiling until she finally breaks through, lifting all of us along with her. 

That is the story of this country, the story that has brought me to this stage tonight , the story of generations of people who felt the lash of bondage, the shame of servitude, the sting of segregation, but who kept on striving and hoping and doing what needed to be done so that today, I wake up every morning in a house that was built by slaves -- and I watch my daughters –- two beautiful, intelligent, black young women –- playing with their dogs on the White House lawn. And because of Hillary Clinton, my daughters –- and all our sons and daughters -– now take for granted that a woman can be President of the United States. 

So don't let anyone ever tell you that this country isn't great, that somehow we need to make it great again. Because this, right now, is the greatest country on earth. And as my daughters prepare to set out into the world, I want a leader who is worthy of that truth, a leader who is worthy of my girls' promise and all our kids' promise, a leader who will be guided every day by the love and hope and impossibly big dreams that we all have for our children. 

So in this election, we cannot sit back and hope that everything works out for the best. We cannot afford to be tired, or frustrated, or cynical. No, hear me -- between now and November, we need to do what we did eight years ago and four years ago: We need to knock on every door. We need to get out every vote. We need to pour every last ounce of our passion and our strength and our love for this country into electing Hillary Clinton as President of the United States of America.

Let's get to work. Thank you all, and God bless.",1,,,

Nita Lowey,"Good evening. Good evening! 
It is my pleasure to join you in the City of Brotherly Love to nominate our first sister president. 
In the United State Congress, I have the privilege to represent teachers and first responders, veterans and college students, small business owners and seniors, and my good friend and colleague, the next president of the United States of America, Hillary Clinton. 
We, New Yorkers, really know Hillary. Not only has she been our First Lady and Secretary of State, Hillary has been our neighbor, our friend, and for eight years, our fierce ally in the United States Senate. 
Here's what I learned from working closely with her for many years: Hillary doesn't just fight the tough battles; Hillary wins them! 
And in the dark days after September 11th, Hillary's leadership on behalf of New York was unsurpassed. She consoled those who lost loved ones. She brought home the assistance to get New York back on its feet. And long after the cameras were gone, Hillary helped secure health care for the police, the firefighters, and EMTs who were sick because they ran towards Ground Zero as everyone else ran away. 
Hillary represented the diverse needs of the entire state of New York -- fighting to keep VA hospitals and military bases open, helping to get produce from farms to market, and giving small businesses the tools to grow and hire. 
She was a strong voice for New York state of the art hospitals, our colleges, and universities. 
Of course, Hillary's achievements reach beyond the Empire State, from her work to support family caregivers to make family planning accessible for every American woman and to help provide eight million American children with health insurance. 
And she is respected around the world for her skilled diplomacy, impeccable leadership, and advancement of rights for women and girls. 
Hillary has devoted her life and career to public service and strengthening America's middle class. 
Now, Donald Trump has devoted his life and career to, well, Donald Trump. 
Hillary will always put our families first. And that's why on our ballots, we put Hillary first. 
And now, I am happy to be joined by New York leaders who know Hillary Clinton, who respect Hillary Clinton, and will continue the work to elect Hillary Clinton the next president of the United States!",1,,,

Pam Livengood,"For my 50th birthday, I got a two-year-old. 
You see my daughter and her boyfriend had a beautiful little boy named Francis, but they got caught up in drugs. 
It started with the pain medication she was given after Francis was born, and it just got worse. 
It's hard to explain just how devastating it is to watch your child struggle with substance abuse. 
I know my daughter love Francis but love wasn't enough to take care of him. 
I started getting calls from child services, and one day they said Francis would be taken away from my family and put in foster care unless he had family who could take care of him. 
There was no way we were going to let our grandson end up in foster care. 
So Francis lived with our husband, John, and I until he was five. His grandfather -- he lives with his grandfather now, who is on disability. 
And when you're my age, you don't expect to start all over again raising a grandchild.
Today my daughter is in treatment, but she has a long road ahead of her. 
My story isn't unique. This epidemic has devastated communities all over the country. It doesn't discriminate against age, race, gender, or income. It affects all of us. 
But sometimes it feels like folks in Washington don't hear these stories.
Well, last year, Hillary Clinton came to New Hampshire for a roundtable at my work and she asked if addiction has touched any of us. 
And as I told my story, Hillary listened. She even took notes. And then she did something else we don't see a lot of in Washington -- she took action. She came up with a plan -- one that includes everything from reducing overdoses to expanding access to treatment. 
To me, that's the kind of leader we need. 
We need a leader who listens to the voices of ordinary Americans. A leader who listens with compassion and respect. A leader who believes that as Americans we look out for each other. 
I'm not saying that leader has to be a grandmother, but it sure helps. For me that leader is Hillary Clinton.",1,,,

Raul Grijalva,"I stand here in support of Hillary Clinton, on behalf of the future and in recognition of our proud past. 
I am reminded today of all the important fights of the past 50 years fought and won by progressive leaders of our party. 
I came of age admiring Democrats who fought for civil rights, for women's rights, for clean air, clean water and for peace and the many other great investments that's made in this country that made it a better place. 
I came of age with a party that believes the public good, not the size of a donor's check, was the true measure of an idea. 
And my friends, a new generation is coming of age today. Millions of young people, all ethnicities, all backgrounds, all income levels are looking for us to stay true to the party's great ideals. They look to us hoping we will put their needs above those of the already rich and the already powerful. 
Their idealism, their optimism, their belief in America -- they are no different than the idealism that built this nation or the idealism that won progressive fights of generations ago. 
Their idealism is just as powerful and, yes, just as fragile. In this election and in everything we do, we must remember that and be worthy of it. 
I wouldn't be here today supporting our nominee if Democrats of 50 years ago hadn't had their courage. 
I wouldn't be here if our party was built by the likes of Donald Trump who's trying to make our country meaner, hateful, more divided, and more fearful. 
I'm proud to be -- very proud -- to be a part of a movement that's going to beat Donald Trump, that's going to help elect Hillary Clinton, and that's going to turn that idealism into a government philosophy we can all be proud of. 
So now it's time. Let's go win this. Let's win it for our people and let's win it for our nation. 
Thank you.",1,,,

Sarah Silverman,"As many of you may know, I support Bernie Sanders and the movement behind him. 
And Bernie's already succeeded in so many ways. 
He proved that Citizens United is in fact not a necessary evil. And by the way, Citizens United -- isn't that such a beautiful name for something that means billionaires buying politicians? Good lord. Rails against the very spirit of our democracy. 
And I'm very glad that Hillary has vowed to overturn it. 
Not only did Bernie wake us up, he made us understand what is possible and what we deserve. 
You know, my shrink says ''We don't what we want; we get what we think we deserve.'' And Bernie showed us that all of America's citizens deserve quality health care and education, not just the wealthy elite. 
I know. That sounds so obvious. Who wouldn't agree with that? But yet it's not what's been happening. 
You know, I happen to believe the crazy notion that people who may be weren't born with the same opportunities as you and me should be given the same opportunity as you and me. 
And all it takes to accomplish this is everyone. It's all of us. Or as a pretty kick ass woman once said, ''It takes a village.'' 
This Democratic primary was exemplary. No name-calling. No comments about the size of candidate's hands or ethnicity or how much they sweat or if they go to the bathroom. Inside secret -- they do. 
That stuff is for third graders. Come on. That's like major arrested development stuff. That's ''I'm still emotionally four and calling people names from my gold encrusted sandbox because I was given money instead of human touch or coping tools'' stuff. 
But I digress
Hillary heard the passion of the people -- the people behind Bernie and brought those passions into the party's platform and that is the process of democracy at its very best and it's very cool to see. 
Hillary is our Democratic nominee and I will proudly vote for her. 
It's so inspiring. It's so inspiring. Just a few years ago, she was a secretary and now she's going to be president. 
I mean, come on. She's like the only person ever to be over-qualified for a job as the president. 
So I tell you this. I will vote for Hillary with gusto as I continue to be inspired and moved to action by the ideals set forth by Bernie, who will never stop fighting for us. 
I am proud to be a part of Bernie's movement and a vital part of that movement is making absolutely sure that Hillary Clinton is our next president of the United States. 
Booyah, papa boo-yee!

To the Bernie or bust people, you're being ridiculous",1,,,

Amy Klobuchar,"Hello, friends. Hello, Democrats. 
I'm here to make the case for a leader who, as you just saw, is focused on security -- security for our country, security for our economy and our democracy. 
A leader who knows we are all more secure when women and girls have the opportunity to lead with their heads high and their strides strong. 
That leader is Hillary Clinton.
She sees a world where girls are not captured and sold but are fearless and bold, where they lead and not follow, and where when someone tells a young woman, ''You fight like a girl'', her answer is, ''Yes, I do, and I'm proud to be that girl!''
Now, delegates, here is one challenge. Today, millions of people in the world are held in forced labor or sexual servitude. 
Human trafficking hits home for me. I'm a former prosecutor. 
A few years ago in Minnesota, a 12-year-old girl got a text to go to a party. A man picked her up in a parking lot and raped her. She ended up in a hotel and was forced to take explicit pictures of herself. They were posted online, and then she was sold to two more men.
They got that guy. Our Justice Department and law enforcement went after him. Last December, he was convicted by a jury.
She was 12 years old. Not old enough to drive a car or go to her high school prom. Not old enough to vote. 
This is happening in our own country.
That's why, as Secretary of State, Hillary Clinton took the international report on trafficking -- the one nations use to improve their prosecutions and she made our country accountable. She added the United States of America to that list because she knows that if we are going to be a beacon for the world, then we have to get our own house in order.
And when Hillary said, ''Human rights are women's rights and women's rights are human rights'', she named sex trafficking as a violation of those rights. She didn't say it just anywhere, my fellow delegates, she said it in China. 
She came home from Beijing and she supported the first trafficking law in our country. 
And years later, she supported my bipartisan bill that's helping law enforcement crack down on trafficking and make sure that kids who are trafficked are treated as the victims that they are and not as criminals.
Fellow delegates, human trafficking is the third biggest criminal enterprise in the world. 
As long as ISIS is selling girls for $165 and parents in Nigeria are left with nothing but bows and arrows to chase the terrorists who steal their daughters in the middle of the night, we will never have a just and good world.
Because when women are held back, democracies falter. When women are bound and treated as sex slaves, tyrants rule. 
Opportunity for women is not a sign of a country's weakness; it is a sign of a nation's strength. 
Or maybe, just maybeMark Twain said it best. ''What would men be without women? Scarce, sir, mighty scarce.'' 
Elevating women across the world so they're treated with dignity and respect, that's what Hillary Clinton will do. 
And if that means playing the woman card, Donald Trump, let me tell you, there are hundreds of millions of women in this world who are ready to play that card. And in the United States of America, it's called the voting card. 
You know, part of how we make this better is by telling the truth -- laying out the facts and sharing our stories. 
Here with us tonight is someone who has experienced the devastation of human trafficking. 
It is hard to put into words the horrors she's faced, but Ima Matul has the courage to speak out. 
We all have a voice. This election, let's use it. 
We welcome you to the stage, Ima.",2,,,

Barbara Boxer,"You look beautiful out there! 
So I have a question: Are you ready to elect the very first women president of these United States of America? Let me hear it! Yes! 
I want to talk to you very personally, because I've known Hillary Clinton for more than 20 years. 
We're actually family. My daughter was married to her brother, so my beloved grandson is her beloved nephew. Yes. So I know her. 
I know her as the loving aunt who helped plan my grandson's birthday parties when he was still just a little toddler. 
And I saw her rush over after a busy day at the State Department to cheer him on at his high school football games. And she was often joined by her devoted mother, Dorothy, who overcame a painful childhood and taught Hillary how one caring person can make a change in a child's life. 
Dorothy once wrote me a letter and she said this, ''I can't remember when Hillary didn't take the long view of things, never instant gratification.'' And she wrote ''That strong sense of empathy for others and at great sense of humor have served her well.'' 
Now, that's a mom who knew her daughter well. 
Now, we saw Hillary's heart -- her heart -- when as First Lady she worked across party lines to bring healthcare to millions and millions of children. 
We saw her strength when after 9/11 she stood with first responders and tirelessly fought for them. 
We saw her strength and we saw her leadership when as Secretary of State, Hillary Clinton restored America's standing in the world. You remember that! After the Bush administration. 
And I personally saw the light in her eyes when she became a grandmother and her fight for a better America became even more personal and even more urgent. 
Now, during this campaign, we have seen something else -- her toughness. And I know a little bit about toughness. 
Now, the right wing has thrown everything at Hillary, not only they kitchen sink, not only the stove but the refrigerator and the toasters too. And you know what? She's still standing. They've thrown everything at her, and she's still standing! 
America's families need Hillary in the White House standing with all of us. 
We need a president who knows it's just plain wrong that women make 79 cents for every dollar paid to a man, and yet her opponent refused to support equal pay. He says -- quote -- ''the marketplace is going to make sure of it''. Well it's 2016, and we're still waiting, Mr. Trump. 
We can count on Hillary to fight to raise the minimum wage. Her opponent says wages are too high. Now, that's un-American because in our great country if you work full time, you should never ever have to live in poverty. 
We can count on Hillary. We can count on Hillary to protect our right to choose. Her opponents said a woman should be punished for exercising her right to choose and then picked a running mate who believes Roe v. Wade belongs to -- quote him -- ''in the ash heap of history''. 
Well, I have that message for Donald Trump and Mike Pence: We are not going back to the dark days when women died and back alleys. We are never, ever, ever going back! Never! 
We are moving forward with Hillary Clinton. 
You know, there's a lot of talk about what makes America great. 
Well, I'll tell you this. It's not when we insult each other. It's not when we tear each other down. 
It's when we stand together. It's when we work together. It's when we build together. It's when we fight together. And that's what makes America great. And that's what Hillary Clinton will do. 
And that is why I'm telling you tonight, Hillary Clinton will be our next president of the United States of America! 
Thank you, California! Thank you, America. Thank you!",2,,,

Barbara Mikulski,"Fellow Democrats and sister Democrats and a special hello to the state of Maryland! 
Our nation was born here in Philadelphia 240 years ago. 
Our founding fathers gave us the great start, but it was the founding mothers who said, ''Do not forget the ladies for we will ferment our revolution.'' 
They started the job, but we're going to keep it going. 
Now, yes, we do break barriers. I broke a barrier when I became the first Democratic woman elected in the Senate in her own right and the first to chair the powerful Appropriations Committee. 
So, it is with a full heart that I'm here today as we nominate Hillary Clinton to be the first woman president. 
Many of you have broken barriers. You were the first to go to college. You were the first to start a business. Maybe the first to be a citizen. 
But when you know when you broke a barrier, you didn't do it for yourself. You did it for so others who would not have barriers, only opportunities. 
That's what Hillary wants to do. 
She wants to break your barriers to opportunities so you won't have barriers. 
You can count on her. She will work for you. 
Some people want your rent, but Hillary wants to get results. She'll fight for your day to day needs and the long range needs of the country. 
She'll fight for the macro issues and those macaroni and cheese issues. So, you'll have national security and economic security. 
So you'll have an opportunity for a good job and a good neighborhood with a good school, and your kids will have a really good future. 
So you will have equal pay for equal work. Living wages. 
So for healthcare when you need it. 
So, yes, it's about the new jobs and solar energy, but it's so much -- she wants that job to light up your home, light up your community, light up your life. And she wants that little light in you just to shine. 
I know that Hillary listens. The Hillary I work with is duty-driven, unflagging and unflinching. 
She's a leader, so on behalf of all the women who've broken down barriers for others and with an eye towards the barriers ahead, I proudly praise Hillary Clinton's name in nomination to be the next president.",2,,,

Bill Clinton,"Thank you! Thank you! Thank you!
In the spring of 1971 I met a girl.


The first time I saw her we were, appropriately enough, in a class on political and civil rights. She had thick blond hair, big glasses, wore no makeup, and she had a sense of strength and self- possession that I found magnetic. After the class I followed her out, intending to introduce myself. I got close enough to touch her back, but I couldn't do it. Somehow I knew this would not be just another tap on the shoulder, that I might be starting something I couldn't stop.
And I saw her several more times in the next few days, but I still didn't speak to her. Then one night I was in the law library talking to a classmate who wanted me to join the Yale Law Journal. He said it would guarantee me a job in a big firm or a clerkship with a federal judge. I really wasn't interested, I just wanted to go home to Arkansas.

Then I saw the girl again, standing at the opposite end of that long room. Finally she was staring back at me, so I watched her. She closed her book, put it down and started walking toward me. She walked the whole length of the library, came up to me and said, look, if you're going to keep staring at me

and now I'm staring back, we at least ought to know each other's name. I'm Hillary Rodham, who are you?

I was so impressed and surprised that, whether you believe it or not, momentarily I was speechless.


Finally, I sort of blurted out my name and we exchanged a few words and then she went away.
Well, I didn't join the Law Review, but I did leave that library with a whole new goal in mind.

A couple of days later, I saw her again. I remember, she was wearing a long, white, flowery skirt. And I went up to her and she said she was going to register for classes for the next term. And I said I'd go, too. And we stood in line and talked -- you had to do that to register back then -- and I thought I was doing pretty well until we got to the front of the line and the registrar looked up and said, Bill, what are you doing here, you registered morning?

I turned red and she laughed that big laugh of hers. And I thought, well, heck, since my cover's been blown I just went ahead and asked her to take a walk down to the art museum.
We've been walking and talking and laughing together ever since.

And we've done it in good times and bad, through joy and heartbreak. We cried together this morning on the news that our good friend and a lot of your good friend, Mark Weiner, passed away early this morning.
We've built up a lifetime of memories. After the first month and that first walk, I actually drove her home to Park Ridge, Illinois

to meet her family and see the town where she grew up, a perfect example of post World War II middle-class America, street after street of nice houses, great schools, good parks, a big public swimming pool, and almost all white.
I really liked her family. Her crusty, conservative father, her rambunctious brothers, all extolling the virtues of rooting for the Bears and the Cuba.

And for the people from Illinois here, they even told me what ''waiting for next year'' meant.

It could be next year, guys.
Now, her mother was different. She was more liberal than the boys. And she had a childhood that made mine look like a piece of cake. She was easy to underestimate with her soft manner and she reminded me all over again of the truth of that old saying you should never judge a book by its covers. Knowing her was one of the greatest gifts Hillary ever gave me.

I learned that Hillary got her introduction to social justice through her Methodist youth minister, Don Jones. He took her downtown to Chicago to hear Dr. Martin Luther King speak and he remained her friend for the rest of his life. This will be the only campaign of hers he ever missed.
When she got to college, her support for civil rights, her opposition to the Vietnam War compelled her to change party, to become a Democrat.

And then between college and law school on a total lark she went alone to Alaska and spent some time sliming fish.

More to the point, by the time I met her she had already been involved in the law school's legal services project and she had been influenced by Marian Wright Edelman.

She took a summer internship interviewing workers in migrant camps for Senator Walter Mondale's subcommittee.

She had also begun working in the Yale New Haven Hospital to develop procedures to handle suspected child abuse cases. She got so involved in children's issues that she actually took an extra year in law school working at the child studies center to learn what more could be done to improve the lives and the futures of poor children.

So she was already determined to figure out how to make things better.
Hillary opened my eyes to a whole new world of public service by private citizens. In the summer of 1972, she went to Dothan, Alabama to visit one of those segregated academies that then enrolled over half-a-million white kids in the South. The only way the economics worked is if they claimed federal tax exemptions to which they were not legally entitled. She got sent to prove they weren't.
So she sauntered into one of these academies all by herself, pretending to be a housewife that had just moved to town and needed to find a school for her son. And they exchanged pleasantries and finally she said, look, let's just get to the bottom line here, if I enroll my son in this school will he be in a segregated school, yes or know? And the guy said absolutely. She had him!

I've seen it a thousand times since. And she went back and her encounter was part of a report that gave Marian Wright Edelman the ammunition she needed to keep working to force the Nixon administration to take those tax exemptions away and give our kids access to an equal education.

Then she went down to south Texas where she met

she met one of the nicest fellows I ever met, the wonderful union leader Franklin Garcia, and he helped her register Mexican- American voters. I think some of them are still around to vote for her in 2016.

Then in our last year in law school, Hillary kept up this work. She went to South Carolina to see why so many young

she went to South Carolina to see why so many young African- American boys, I mean, young teenagers, were being jailed for years with adults in men's prisons. And she filed a report on that, which led to some changes, too. Always making things better. 
Now, meanwhile, let's get back to business. I was trying to convince her to marry me.

I first proposed to her on a trip to Great Britain, the first time she had been overseas. And we were on the shoreline of this wonderful little lake, Lake Ennerdale. I asked her to marry me and she said I can't do it.

So in 1974 I went home to teach in the law school and Hillary moved to Massachusetts

to keep working on children's issues. This time trying to figure out why so many kids counted in the Census weren't enrolled in school. She found one of them sitting alone on her porch in a wheelchair. Once more, she filed a report about these kids, and that helped influence ultimately the Congress to adopt the proposition that children with disabilities, physical or otherwise, should have equal access to public education.

You saw the results of that last night when Anastasia Somoza talked.

She never made fun of people with disabilities; she tried to empower them based on their abilities.

Meanwhile, I was still trying to get her to marry me.

So the second time I tried a different tack. I said I really want you to marry me, but you shouldn't do it.

And she smiled and looked at me, like, what is this boy up to? She said that is not a very good sales pitch. I said I know, but it's true. And I meant it, it was true.
I said I know most of the young Democrats our age who want to go into politics, they mean well and they speak well, but none of them is as good as you are at actually doing things to make positive changes in people's lives. 
So I suggested she go home to Illinois or move to New York and look for a chance to run for office. She just laughed and said, are you out of you mind, nobody would ever vote for me.

So I finally got her to visit me in Arkansas.

And when she did, the people at the law school were so impressed they offered a teaching position. And she decided to take a huge chance. She moved to a strange place, more rural, more culturally conservative than anyplace she had ever been, where she knew good and well people would wonder what in the world she was like and whether they could or should accept her.
Didn't take them long to find out what she was like. She loved her teaching and she got frustrated when one of her students said, well, what do you expect, I'm just from Arkansas. She said, don't tell me that, you're as smart as anybody, you've just got to believe in yourself and work hard and set high goals. She believed that anybody could make it.

She also started the first legal aid clinic in northwest Arkansas, providing legal aid services to poor people who couldn't pay for them. And one day I was driving her to the airport to fly back to Chicago when we passed this little brick house that had a for sale sign on it. And she said, boy, that's a pretty house. It had 1,100 square feet, an attic, fan and no air conditioner in hot Arkansas, and a screened-in porch.
Hillary commented on what a uniquely designed and beautiful house it was. So I took a big chance. I bought the house. My mortgage was $175 a month.

When she came back, I picked up her up and I said, you remember that house you liked? She said yeah. I said, while you were gone I bought it, you have to marry me now.

The third time was the charm.

We were married in that little house on October the 11th, 1975. I married my best friend. I was still in awe after more than four years of being around her at how smart and strong and loving and caring she was. And I really hoped that her choosing me and rejecting my advice to pursue her own career was a decision she would never regret.
A little over a year later we moved to Little Rock when I became attorney general and she joined the oldest law firm west of the Mississippi. Soon after, she started a group called the Arkansas Advocates for Families and Children.
It's a group, as you can hear, is still active today.

In 1979, just after I became governor, I asked Hillary to chair a rural health committee to help expand health care to isolated farm and mountain areas. They recommended to do that partly by deploying trained nurse practitioners in places with no doctors to provide primary care they were trained to provide. It was a big deal then, highly controversial and very important.
And I got the feeling that what she did for the rest of her life she was doing there. She just went out and figured out what needed to be done and what made the most sense and what would help the most people. And then if it was controversial she'd just try to persuade people it was the right thing to do.

It wasn't the only big thing that happened that spring my first year as governor. We found out we were going to be parents.

And time passed. On February 27th, 1980, 15 minutes after I got home from the National Governors Conference in Washington, Hillary's water broke and off we went to the hospital. Chelsea was born just before midnight.

And it was the greatest moment of my life. The miracle of a new beginning. The hole it filled for me because my own father died before I was born, and the absolute conviction that my daughter had the best mother in the whole world.

For the next 17 years, through nursing school, Montessori, kindergarten, through T-ball, softball, soccer, volleyball and her passion for ballet, through sleepovers, summer camps, family vacations and Chelsea's own very ambitious excursions, from Halloween parties in the neighborhood, to a Viennese waltz gala in the White House, Hillary first and foremost was a mother.
She became, as she often said, our family's designated worrier, born with an extra responsibility gene. The truth is we rarely disagreed on parenting, although she did believe that I had gone a little over the top when I took a couple of days off with Chelsea to watch all six ''Police Academy'' movies back-to-back.

When Chelsea was 9 months old, I was defeated for reelection in the Reagan landslide. And I became overnight, I think, the youngest former governor in the history of the country. We only had two-year terms back then.
Hillary was great. Immediately she said, OK, what are we going to do? Here's what we're going to do, we're going to get a house, you're going to get a job, we're going to enjoy being Chelsea's parents. And if you really want to run again, you've got to go out and talk to people and figure out why you lost, tell people you got the message and show them you've still got good ideas.
I followed her advice. Within two days we had a house, I soon had a job. We had two fabulous years with Chelsea. And in 1982, I became the first governor in the history of our state to be elected, defeated and elected again.

I think my experience is it's a pretty good thing to follow her advice. The rest of the decade sort of flew by as our lives settled into a rhythm of family and work and friends.
In 1983, Hillary chaired a committee to recommend new education standards for us as a part of and in response to a court order to equalize school funding and a report by a national expert that said our woefully underfunded schools were the worst in America.
Typical Hillary, she held listening tours in all 75 counties with our committee. She came up with really ambitious recommendations. For example, that we be the first state in America to require elementary counselors in every school because so many kids were having trouble at home and they needed it.

So I called the legislature into session hoping to pass the standards, pass a pay raise for teachers and raise the sales tax to pay for it all. I knew it would be hard to pass, but it got easier after Hillary testified before the education committee and the chairman, a plainspoken farmer, said looks to me like we elected the wrong Clinton.

