Speaker,Speech,Day,Primetime,Politician,Army
We welcomed him into our home, helped him get the care he needed, and today, he's like a second son. Many know about the battles he fought in Afghanistan, but few know about the battles that he, and thousands of veterans like him, face when they come home.

Tonight, our commitment is this: Making America great again starts by  taking care of our veterans. ",1,0,1,

Scott Baio,"Thank you for that warm welcome. Thank you so much.
Tonight's theme is ''Making America Safe,'' so I want to thank all the brave men and women who serve our country, including retired Lt. Col. Charles Kettles, who just this morning received the Medal of Honor for his heroism in Vietnam.
And I want to thank Mr Trump for asking to be here tonight. I can't tell you how much of an honor it is to stand up here and talk about a man that I trust with the lives of my family and the health of our country.
America: The greatest country God ever created.
Now, America is an easy place to get to.
But for you first-time voters, it's important for you to know what it means to be an American. It doesn't mean getting free stuff.  It means sacrificing. Winning. Losing. Failing. Succeeding. And sometimes doing the things you don't want to do — including the hard work — in order to get where you want to be. And that's what it means to be an American.
But folks, our country right now is in a very bad spot. You can feel it. And you can see it everywhere. There's no stability. Nothing seems right. And all the things that we hold dear are being attacked every single day.
We cannot go down this road anymore.
We need to stop.
We need Donald Trump to fix this.
Is Donald Trump a messiah? No. He's just a man — a man who wants to give back to his country: America — the country that has given him everything. A country that has also given all of us so much. And now it's time to give back to her.
We have a choice in November. We can go for Hillary Clinton, who wants to continue the same policies that are wrecking this country. Policies that make us unsafe. A woman who somehow that feels she's entitled to the presidency — that she's somehow owed it. Or we can go for Donald Trump, a man doing this from the goodness of his heart and genuinely wants to help. A man who knows how to get things done. A man who says what he means, and means what he says.
Hillary Clinton wants to be president for Hillary Clinton. Donald Trump wants to be president for all of us.
So, of course, let's make America great again.  But let's make America America again.
Thank you all so much.
God bless. Go Trump.",1,0,0,

Patricia Smith,"My name is Patricia Smith. My son, Sean, was one of four brave Americans killed during the 2012 terrorist attack at Benghazi. 
Sean was a wonderful son and father to my two amazing grandchildren, Samantha and Nathan, now 10 and 11. 
He was proud to serve his country with the United States Foreign Service. 
The last time I talked to Sean, the night before the terrorist attack, he told me, ''Mom, I am going to die''. ''All security has been pulled from the embassy,'' he explained. 
And when he asked why, he never received a response. Nobody listened; nobody seemed to care. 
The very next day he was murdered by radical Islamic terrorists. 
To this day I don't even know why a computer guy like Sean was sent to Benghazi. 
That night we lost sons, brothers, fathers, and husbands. We lost four brave Americans who made the ultimate sacrifice for the country they chose to serve and the American people lost the truth. 
For all of this loss, for all of this grief, for all of this cynicism the tragedy in Benghazi has brought upon America, I blame Hillary Clinton! 
I blame Hillary Clinton personally for the death of my son. That's personally. 
In an email to her daughter Chelsea shortly after the attack, Hillary Clinton blamed the act to terrorism. But when I saw Hillary Clinton, she lied to me and then called me a liar. 
When I saw Hillary Clinton at Sean's coffin ceremony just days later, she looked me squarely in the eye and told me a video was responsible. 
Since then, I have repeatedly asked Hillary Clinton to explain to me the real reason why my son is dead. I'm still waiting. 
Whenever I call the State Department, no one would speak to me because they say I am not a member of the immediate family. 
Sean is my son. 
Hillary Clinton is a woman, a mother, and a grandmother of two. 
I am a woman, a mother, and a grandmother of two. 
How could she do this to me? How could she do this to any American family? 
Donald Trump is everything Hillary Clinton is not. He is blunt, direct and strong. He speaks his mind and his heart. 
And when it comes to the threat posed by radical Islamic terrorism, he will not hesitate to kill the terrorists who threaten American lives. 
He will make America stronger, not weaker. 
This entire campaign comes down to a single question: If Hillary Clinton can't give us the truth, why should we give her the presidency? 
That's right, Hillary for prison. She deserves to be in stripes.",1,0,0,

Mark Geist,"Thank you! Thank you, America, for showing us the support and the dedication that should have been offered by Hillary and her State Department to those who actually saved their asses. 

September 11, 2012, at approximately 9:35 p.m., 9:40 p.m., we got a call the United States consulate had been overrun. 
We immediately got our gear ready to go. Got the vehicles ready. And on three separate occasions, we got pulled away by the Chief of Base, Bob, and we got told to stand down. 
You know, the next thing we know, we hear the State Department over the radio saying, ''Hey, if you guys don't get here, we're all going to die.''
Stand down order be damned. The embassy's -- the consulate's under siege. We took off. We left. We weren't waiting no more. 
As the three of us moved on to the consulate, the first thing you see is the main villa is engulfed in fire and smoke, you know, just pouring out. 
I moved up to the front steps of the consulate. 
Off to my right, I see them pulling a body out of the window. Limp body. It ended up being Sean Smith and he was already dead of smoke inhalation by the time we showed up. 
Myself and Rone continued to move. We went in. Just the heat of the fire just blasting in our face. The smoke just obliterated our sight. It was so thick. 
We tried to get on our bellies to try to see underneath the smoke. No luck. 
A little while later, talked to a [incomprehensible audio]. and came through the back gate. 
As I moved away under the consulate grounds, started searching. After a few minutes.[incomprehensible audio]. helped the State Department guys gather up the classified information, get them ready to go in their armored vehicle, and all of a sudden, we ended up getting a counter-assault. 
And at that time, instead of the State Department security agents jumping out helping us defend their United States consulate, they took off, which left the six of us to defend the consulate. 
You know, I got out, went up on the roof of the villa, made my way up towards the back gate. 
The guy initiated us with an RPG. On this third shot, he was coming out as I was coming over the top of the parapet, I let loose in about a 10 round volley, he dropped. 
It was calm for about five minutes and then we got word they were gathering another 100 or so terrorists from the drone feed that good old Hillary was watching. 
And it came to a point where we had to make a decision. You know, at that time, we didn't even know if the United States ambassador was even still at the consulate, if he had been kidnapped prior to us even getting there. But if he was there, he was dead. 
You know, we had the responsibility of 30 other personnel over at the annex. So we had to make the tough decision and we headed back to the annex without the ambassador. 

You know, as the team arrived back at the annex, we took up our fighting positions because we knew they were going to be following from the consulate and coming to our place. 
But you know, we were ready for them. 
We started seeing movement on the east side of our compound. Then all of a sudden, something came flying over the wall. Had sparks flying from it. Landed between Tieg and I and it exploded. 
And that's when they opened up on us. But we also unleashed some hell on them. 
The first wave had about 20 terrorists in it. They went away with a whole lot less.

After that first initial firefight, you know, I was just being kind of old. You know, he's like 40 years older than I am so he had to pull out his med kit, grab some gauze, and just like shoving it in his ear. So he finally looks like he has a tampon on but sorry. 
You know, I kind of smiled at him. I looked at him. ''Hey is that kind of loud much?'' 

And you know that's because Tieg come right up beside me and stuck his gun right here and fired right next to my left ear. Can't hear out of it to this day. Thanks to him. 

Should have moved. 

You know, soon after that, we got word that the support team from Tripoli led by Glen Doherty had landed in Benghazi airport. 
You think the airport security in the United States is bad, you ought to try to land in an airport in a foreign country controlled by militia that you don't know who their loyalty is to and you've got a bunch of guns and a bag of money. 
Thank goodness money talks. 

Mine doesn't. 
So, you know, going around 1:30 a.m. You still have the United States Ambassador -- he's still missing. 
And, you know, still we've got movements starting to come up again on our east side. 
And I get on the radio and say, ''Hey, Bob is there -- are they going to secure the outer perimeter?'' 
Again, you're looking at 1:30 a.m. -- about 3.5 hours into the attack and we get the answer, ''I don't know.'' Good intel. 
At that point, a vehicle actually came out of the darkness. A guy jumped out of the vehicle. Immediately drew his arm back. How I saw him, you know, old age with the eyes, you know, picking him out, three rounds in him. He dropped like a sack of potatoes. 
You know, you would take that guy out and another guy would pop up and then another guy would pop up. 

You know, it was kind of like that arcade game down on the main strip you always go play -- whack-a-mole. A guy stick his head up and you'd take him out. Another guy stick his head up and you'd shoot him. 

You know, pretty much about a little bit after that, we got a call that the ambassador was located at the hospital in Benghazi. 
You know, there's no way for us to determine if this was valid. If he was alive or if he was dead. 
You know, we don't know if it could have been a trick for us to spread our defense, you know, and pretty much just kind of screw everybody else over at the consulate. 
You know, we had decided to stay put again. 

You know, at this time, I had moved where I was at with Tieg and got up on the roof and call it building C. And I was up there with Tyrone. 
And you know, during the downtime, me and Tyrone had started talking about events that night. And Tyrone had told me about earlier that night when Tieg had saved his life because he got lost in the smoke of the building over at the consulate and he started yelling out for Tieg. And Tieg with total disregard for his own safety after having come out of a smoke-filled room went back in and pulled Tyrone out. 
It was during that -- and also he was talking about his kids. And he was really -- because all of us had a lot of young kids there. Every one of us that was there. 
And Jack had just found out that his wife had been pregnant, and so he had a newborn baby coming. And none of us at that point knew if we were going to make it home or not. 
And this is getting on about that time in the morning about 5:30 when the sun starts coming up and you start seeing that change off on the horizon where the sky turns from really dark -- from that dark blue kind of starting to turn light blue. 
And you're hearing the morning prayers from the minarets in the distance. 
About the time the call for prayer finished, we thought, ''Hey, the next tact is going to be here.'' 
About that time, we heard over the radio that Glen and the team from Tripoli had made their way to the annex and were just getting ready to pull in. 
And when they did, instead of going inside the building.Glen, he came up on top of the roof. He wanted to get in the fight. So he joined us up there. 
And Tyrone introduced me to Glen because I'd never met him before. First thing out of my mouth was ''It's good to have another gunfighter up on top of that roof.'' 
He had kind of turned and he started walking away from me. And it was about that time that the final attack started.

A rocket-propelled grenade hit the back wall and small arms fire opened up from the north right in front of me and Ty. 
A mortar hit on top of our outer wall -- our outer perimeter wall and the State Department guy yelled out that he was hit. Took some shrapnel up into his forehead. 
We opened up fire. Tyrone opened with a machine gun. I opened up with my assault rifle. And that's when the second mortar hit. It hit about 15 feet to my right. 
The explosion kind of knocked me back a little bit and as I stood back up, I kind of noticed that Rone was in a fetal position to the left of my feet. 
And as I raised my left hand up to grab my rifle and start shooting and that's when I noticed that was first injured and my left arm about six inches above the wrist was kind of handing off at a 90 degree angle. 
It was then that the third mortar hit. And as I glassed over my right shoulder, I noticed that Glen went facedown on the roof and he was out of the fight. 
I tried again to bring my arm up and grab my weapon I wanted to get back into the fight and it just wouldn't work. I couldn't get it to hold on. And that's when the fourth mortar hit. 
And that's really the first time that I ever felt like any pain that night. And it felt like I got stunned by a thousand bees. 
I figured at that time this hard-headed Marine probably ought to get to some cover in case he dropped another one on us. 
Semper fi. Thank you. 
So I go for cover and everything went quiet. I pulled the tourniquet out, started to get it on my arm. 
But I kind of got distracted. I wanted to check on Rone. So I crawled over and tried to find a pulse. Couldn't find one. 
And it was about that time I saw a shadow come up on top of the roof and that was Tieg. The dust and the debris still hadn't even finished falling when he'd come up on that roof. 

.You know, as I was standing there, you know, the first round, he was saying Rone was just laying.pretty much. You know, when that first round hits the roof, it just went dead quiet. 
The debris was so thick. You couldn't see the stars. I mean, it just went pitch black. Pitch quiet. 
I started moving towards the building C and I get on the radio and I say, ''Hey, you guys all right up on building C?''
Of course, I never expected a response at all but the team leader gets on the radio and says ''Hey, we're all right here.'' Of course, you had to tell him to shut up and talk about the guys up on the roof. 
Jack gets on and says, ''Hey, got no movement.'' 
Ran over there.

You know, the first thing I do I jump over the parapet and the first guy I see is the State guy. He's kind of leaning up against the wall. He's got his pistol out. You know, his left leg just below the knees almost cleanly severed off. His left arm below the elbow is almost cleanly severed off. 
And I had to disarm him really quick. Lucky he didn't shoot me. 
Maybe I'd get a medal if he would've. I don't know. 
I got two tourniquets. Put a tourniquet on his leg. Put a tourniquet on his arm. 
You know, I'm asking for extra help from the guy's below inside the building. 
You know, the whole time I'm also doing that, I'm hearing kind of like something crying behind me. It was kind of a weird sound. You don't usually hear that too often in combat. 
I get him done. I give him back his pistol. I unloaded it of course. You know, you're not going to give him a loaded pistol back. 
As I started moving across, you know, again I can hear the whimpering and the next thing I know it's [Geist]. He's kind of sitting his back against the wall, playing with his wrist. You know, kind of like a little kid. ''You need to quit doing that. You're going to make it worse.''

I kind of figured I was trying to put it back in place but it wouldn't stay there. 

Yeah, I didn't have any super glue. 
So he had his tourniquet out. I grabbed his tourniquet. I got his tourniquet on his arm. Stood him up and said, ''Hey man, can you get to the ladder by yourself.'' 

I told him yeah. Hell yeah, because I knew that Ty and Glen still needed help. Somewhere in the back of my mind, I was still hoping they were alive. 
So I walked over to the ladder that went down and kind of sat up on the ledge. And I'm sitting there looking down thinking, ''Okay, how am I going to get down off this thing?'' 
You know, I just survived two or three assaults on our compound and three mortars landed on me, and the next thing you know, I'm thinking ''My luck, I'm going to fall off this darn roof and break my neck.'' 
You know, those aren't the stories I want my kids to hear about how I died. If I'm going to go out, I want to go out in a blaze of glory. 
So I ended up hooking my good arm on the top rung of the ladder and I was thinking I'm going to swing my feet down around and land on the ladder. And sure enough, you know, Murphy's law, what can go wrong can go wrong. So right as I slid my feet down, I fell off the ladder. 
Luckily, I caught myself in my good arm kind of pulled myself back up, got myself together, and climbed on down the ladder. 
Walked around through the front of the building, meeting one of our other guys coming out. He walked me in and laid me down on the floor. 
And I was sitting there and they're looking at me. And I told them, ''You know, hey you need to cut my clothes off because I know I've got a bunch of other holes in me. I know there's a bunch of other wounds that need to be treated.'' 
So finally they got my clothes cut off and we found about 20 or 30 other shrapnel holes. Most of them weren't bleeding too bad so we got the big ones plugged and ready to go again.

You know, after I got [Geist] up, he kind of mumbled a little bit because he lost his cane when the motors hit so he didn't have a cane to walk across the roof anymore. 
But you know, immediately, I went over to where the next guy was which was Rone. I rolled him over, immediately checked for a pulse. His throat moved just a little bit. I didn't get a pulse. 
So I immediately ripped off his body armor. You know, lift up his shirt and do what they call a Look, Listen, and Feel. Kind of put your ear on their mouth so you're trying to hear or feel their breadth and see if their chest or the stomach's moving at all. Didn't get anything. 
I got the flashlight, checked for a pupil dilation, and there was nothing. So at that moment, I knew he was gone. 
And I knew [Geist]. He just went down. 
And I knew the next radio call was going to be for him and because Rone was also our medic. So I had announced, ''Hey, you know, Rone's gone.'' 
Got up moved over to the next guy, which end up being Glen Doherty. Again, same like [Geist], never worked with him, never met him. Rolled him over. Same thing. Checked for a pulse. Look, listen, feel. Did a pupil dilation. Same thing. There was nothing. 
I immediately went back over to Rone, grabbed all of his weapons and stuff like that, kneeled down and said a prayer over him. 
Went over to [Doherty] and grabbed all his weapon system and kneeled down and said a prayer over him.
At that time, you know, we all got off of the roof. And, you know, we knew we had to get out of there. We had to get everyone out of there because there's nothing that we had that could defend against mortar attack. And the fact that a building just got hit by three 81 millimeter mortars and it didn't collapse on everybody inside -- well it definitely wasn't the construction of the building; it was definitely from upstairs. 

It was the grace of God. 
Once we got all us wounded stabilized, we secured the dead. We made sure that we didn't have any critical information left behind and that's when we made our way to the airport. 
To get there, we ended up having to enlist a militia. Happened to be Gaddafi loyalists. Those were the ones that helped -- that Hillary wanted to get out of Libya. They're the ones that helped the Americans get to the hospitals and get to the airport.
When we got there, we loaded up the non-shooting personnel. I made my trip in the back of a.pick-up truck -- it's kind of like a Toyota. They came over to me. I was sitting on a gurney, and they came over to grab the gurney. And that's when I kind of sat up and I told them I walked into Benghazi, I'm going to walk out.

And that was the same plane that had brought Glen and the guys down from Tripoli. 
But you know, this was one of the planes that Glen didn't make it back on. 
You know, the plane that they had secured, the Tripoli team had secured from a Libyan that they actually had just met that day. Again, I don't think it's really a coincidence. You know, we got an over watcher with us that night. 
You know, we got everybody loaded up, headed to Tripoli, and then we had to turn our tasks. We had to stay behind because they couldn't hold everybody. 
Again, the Gaddafi loyalist militia stepped up and said, ''Hey, we can get the ambassador.'' They took off. They came back returned with the ambassador's body. 
Myself, Tonto, and one of the Delta Force guys, you know, checked, made sure it was him, looked him over. 
You know, he was wearing the exact same clothes he was wearing that morning when I saw him when we went over there because there was a threat at a local -- well, there was a threat at a government compound that day. And you know, he was wearing the exact same clothes. The only difference, you know, he had black soot on his feet, around his fingernails, around his ears. 
But there was no sign of torture. No sign of mutilation. You know, it was obvious to us he died of smoke inhalation. All those rumors about that happening to him and our government not squashing it right away is a bunch of bull crap. 
You know at that point, you know, we still didn't know how we were actually going to get out of there. 
A C-130 starts rolling down the runway. I was thinking this might be for us. It kind of comes a little bit closer but then does a U-turn, pulls off to a little hangar area and shuts down. See all the crew, all the pilots get off. 
You know, we were kind of standing there a little bit. 
Well, one of the team members that came down from Tripoli, the linguist that came down from Tripoli went over there and took him about 15 minutes or so and they kind of persuaded the pilot to take us back up to Tripoli. 
And again, the last Americans to leave Benghazi, we didn't leave on an American plane. But we left on a Libyan plane flown by Libyans. 
You know, the first United States bird, any United States asset that we saw wasn't a jet. It was a medical transport bird that took us all to Germany about 5 p.m. on September 12th.

You know, that night, there were more than 30 American lives that were saved that night. And it's because Americans never give up. We refuse to lose. 
Benghazi's been a four letter word for the left, but it's not about politics. 
Benghazi was about opportunities. Opportunities taken when we defied the stand down orders and opportunities squandered when Hillary failed to protect her people on the ground. 
Had she done her job that night -- had she done her job that night, we wouldn't have had to compromise the annex. Ty, Glen, Sean, and Ambassador Stevens would be alive today. 
Now, we as Americans -- we have an opportunity, and that opportunity is to elect someone who will make this country safe again. 
We have to elect someone who will have our backs, someone who will bring our guys home, won't leave anybody behind. 
We have to elect someone who will lead with strength and integrity, and I believe that person is Donald Trump. 

We did our part. Every fallen veteran did their part. Now do yours. 

Now it's time for you to do yours. 
God bless you. Thank you all!",1,0,0,

Antonio Sabato,"Good evening.

I'm honored to be here.

I know I am not your typical convention speaker.

You might be wondering why I chose to speak. The truth is that I've never considered myself very political or spoken out politically  before.
But my belief in this country and my faith in Jesus Christ have compelled me to speak now.

I'm concerned about our country's future. I'm concerned about my children's future.

And I believe we need Donald Trump, who shares my beliefs and my faith, to get our country back on track.

In the past eight years, failed policies have caused our country to deteriorate. Our rights have been trampled and our security threatened.

We are weaker by almost every measure. We are on the wrong path.

It is clear even to someone who was not born here. I came to the United States from Rome in 1985.

I followed all the rules and finally became a naturalized citizen in 1996. Others who want to come to the U.S. to live and work should follow the same rules. We are a nation of laws for a reason.

There should be no shortcuts for those who don't want to pay -- or  wait.

My mother was born in communist Prague, escaped the Czech Republic and met my dad in Italy.

I know what socialism looks like. I don't want that for my children.

But that's the path we're headed down with the leader we've had -- and the candidate he endorses.

Barack Obama and Hillary Clinton promote division -- don't be fooled -- but Donald Trump is for unity.

Donald Trump believes in one America, with liberty and justice for all. Having secure borders, protecting our citizens -- none of this is hateful. This is the responsiblity of the government -- and the right thing to do.

Donald Trump will get it done and put us back on the right track. People know this, and that's why they have voted as they have. We can no longer afford to be silent.

Our country needs Donald Trump to make us great again. God bless you and God bless the United States of America.",1,0,0,

Michael McCaul,"I'm Michael McCaul, Chairman of the Homeland Security Committee. 
And I support the Louisiana police officers who tragically lost their lives. Americans stand with my hometown and we will never forget. And to law enforcement officers across this nation, we are with you and we will always support you. 
Tonight we heard powerful testimony from people who have been devastated by Obama's recklessness. It's time to take back our country and make America safe again! 
USA. USA. USA. 
We need to end sanctuary cities. Keep dangerous people out of our country. And secure our borders once and for all. 
Our country's national security is at risk. President Reagan once reminded us that America was a shiny city upon a hill. A beacon of hope to the world. But after eight years of weak leadership, our city on a hill is now a city under siege. 
Today our allies no longer trust us. Our adversaries no longer fear us. And our enemies are plotting against us. 
This did not happen by accident; it happened by design. It is the work of Barack Obama and the architect of his failed foreign policy, Hillary Clinton. 
For years they presided over America's retreat. And the consequence is clear. Leading from behind has lead us into danger. 
When Hillary stopped talking about the war on terror, our enemies noticed. 
When she helped withdraw our forces from Iraq creating a power vacuum, she paved the way for ISIS to rear its ugly head and our enemies noticed. 
When four Americans were murdered and Benghazi burned, she blames it on a video, and our enemies noticed. 
And when she stood on the sidelines while terror hotspots erupted across the globe, our enemies noticed. 
We've all witnessed the recent attacks in Nice, Paris, Brussels, and Istanbul. But now we are in the crosshairs. Our own city streets have become the battleground. Fort Hood, Boston, Chattanooga, San Bernardino, and Orlando. 
But instead of protecting Americans, the Obama administration turned a blind eye to the danger. 
So let's cut through the suffocating political correctness and call the threat what it really is. The enemy is radical Islam. These fanatics have radicalized a religion into a weapon, targeting our way of life. 
President Reagan once asked, ''Are you better off than you were four years ago?'' But tonight let me ask you this question: Are you safer than you were eight years ago? No.
Is our military stronger? Is America still respected? 
Over and over Obama and Hillary apologized for America and allowed jihadists to spread like wildfire. 
We cannot afford Hillary in the White House again. We need someone who can repair the damage she's done, take the fight to the enemy, and put America first. That man is Donald Trump. 
I'm proud to serve as a member of his national security team. 
And I can tell you this, I can tell you this, Donald will never apologize for American greatness. He will promote it. 
It's time to unify as a party. It is time to unify as a party. 
He will never bow down to our enemies. He will stand up to them. And Donald will never allow terrorists to gain ground against America. He will shake the ground they walk on. 
My father was a bombardier in World War II and participated in the D-Day invasion against the Nazis. His generation often defined as the greatest defeated fascism and communism, handing down a better and safer America to my generation. 
Now we are in a struggle against the forces of radical Islam and terror, which must be defeated for our children and our grandchildren. 
A Trump administration will take on this fight and send a clear message to Islamic terrorists. You may have fired the first shot, but rest assured, America will fire the last. 
Thank you. May God bless America and God bless the next president of the United States, Donald Trump.",1,0,0,

David Clarke,"Ladies and Gentlemen, I would like to make something very clear: Blue Lives Matter!

I want to talk with you about something important, indeed, a concept that five law enforcement officers were murdered and nine more were wounded for earlier this month in Dallas, and for which three more were murdered yesterday in Baton Rouge: that is the importance of Making America Safe Again.

I believe that this noble mission is not just a requirement, but a prerequisite for achieving this campaign's goal of Making America Great Again.

We simply cannot be great if we do not feel safe in our homes, on our streets, and in our communities.

I see this every day, at street level where many Americans increasingly have an uneasiness about the ability of their families to live safely in these troubling times. This transcends race, religion, ethnicity, gender, age, and lifestyle.

If you don't believe it, a recent Gallup poll confirms it: more than half of all Americans now worry a great deal about crime and violence, up consistently and dramatically from just a few years ago.

For African-Americans that number is 70 percent.

Sadly for a growing number of communities the sense of safety that many of us once took for granted has been shattered.

Americans don't always feel safe no matter if they are working in a big city, living in a suburb or rural areas all around our great country.

I often tell residents of Milwaukee, and the cities and towns I visit that safety is a shared endeavor. It starts with the willing acceptance of people to play by society's rules: a code we collectively agree upon that ensures stability, order, fairness, and respect.

It's built on a foundation of trust in each other and in the people who administer and enforce society's rules, which at its foundation is the rule of law.

In 1963, Dr. Martin Luther King Jr. wrote passionately about ''the interrelatedness of all communities and states'' and about our ''inescapable network of mutuality, tying us in a single garment of destiny.''

He spoke of the basic morality of the rule of law, provided that it is applied equally to both the wealthy and the impoverished; both men and women, and yes, the majority and the minority.

What we witnessed in Ferguson, in Baltimore, and in Baton Rouge was a collapse of social order. So many of the actions of the Occupy movement and Black Lives Matter transcend peaceful protest, and violates the code of conduct we rely on.

American law enforcement officers understand that race is and has been a heated issue in our country. Most appreciate the vital need for thoroughness and transparency in pursuit of the greater good in their actions, and in their investigations.

These are truths that are self-evident to me, and which I practice, and they are the truths that Donald Trump understands and supports. Donald Trump is the steadfast leader our nation needs.

He has spoken passionately to me of his belief in our American system of justice, and he speaks to the values that are at the foundation of our social contract.

Throughout his campaign and over many years before he has consistently and constantly raised his voice not only in defense of the character of the American police officer, but the need for ALL people to feel they are being treated fairly and respectfully by law enforcement.

Donald Trump understands that what can make our nation safe again is a recommitment to a system of justice in which no government official, not even those who have fought their way to the marble and granite halls of Washington; no private citizen, not even Hillary Clinton; and no group of people, despite the fervor with which they press forward their grievances, can claim privilege above the law.

The tradition of the primacy of the rule of law in America is strong. It is in those simple facts and in our acts that we will move forward and toward Making America Safe Again. God Bless you, and may God continue to bless these United States of America.",1,0,,

Darryl Glenn,"Good Evening. My name is Darryl Glenn and I'm an unapologetic Christian, constitutional conservative, pro-life, second-amendment-loving Veteran and I'm your Republican nominee for United States Senate in the number one battleground state in this country Colorado.

It's my privilege to stand here and support our next President Donald Trump. I'm often asked, ""Why are you a Republican?"" The Democratic party is the party of handouts and after over 7 years of hope and change, the only thing we have left is change in our pocket.

This President ran to be Commander-in-Chief. Unfortunately, he's become ""Divider-in-Chief"".

We're more racially divided today than before he ran.

But there's more.

The New Black Panthers, Jessie Jackson and Al Sharpton don't speak for black America.

This is not about black America, white America or brown America, this is about the United States of America.

Mr. President here's the facts.

Neighborhoods have become more violent under your watch.

Your rhetoric has a direct impact on the relationship between communities and the police.

We can bring this country together.

But you must realize that our heroes in ""Blue"" are part of the solution and not the problem. Nobody wants bad cops off the street more than good cops!

But to heal our communities, more men need to start helping in the care of their children.

Safe neighborhoods happen when fathers and mothers are in the home.

But there's more.

We also must recognize that evil does exist in this world. The threat from Radical Islamic Terrorism is real.

Our troops don't care what Party you represent. They care about having the tools, training and equipment to do their jobs. And, if you put them in harm's way, let them win.

And, when they come home honor them and care for their injuries.

We must win this election.

Hillary Clinton is unfit to be President.

We all know she loves her pant suits, but we should send her an email and tell her she deserves a bright orange jump suit.

Here's the bottom line:

American exceptionalism is alive and well.

Evil exists. But as God as my witness, this battle has already been fought and won.

Believe we can win.

Believe we can change things.

Believe that together, we can Make America Great Again.

My name is Darryl Glenn. I can't do this without your help.

God bless each and every one of you. God bless the great state of Colorado and God bless the United States of America.",1,0,,

Tom Cotton,"For eight years, we've seen what happens when America leads from behind. Leading from behind that's not what the Army taught me. To everyone who agrees that America should lead the way, let me say loud and clear: help is on the way.
Let me tell you a story about an Arkansas farm boy. When America was at war, he was in school and then in a comfortable job. But he sacrificed that comfort, against the wishes of his father, who himself had served. He volunteered for the Army. He became an infantryman.
That farm boy was my dad. He went to Vietnam in 1969.
Thirty-five years later, I did the same. Against the wishes of my family, I gave up my legal career and I volunteered for the Army. I became an infantryman. I went to Iraq and Afghanistan. My dad said he felt like God was punishing him for what he did to his dad.
But God wasn't punishing them; God had called us to serve. Just as He calls so many of you.
My family isn't extraordinary; in fact, we're very ordinary. From farms in Arkansas to fire stations in New York, many families could tell the same story. The defense of this country is a family affair.
We don't fight because we hate our enemies, but because we love our country. We love its freedom. We love that we're born equal and live free, that no one rules without consent.
We know these things are worth fighting and dying for because they make life worth living for.
Our warriors and their families don't ask for much. But there are a few things we'd like.
A commander-in-chief who speaks of winning wars and not merely ending wars, calls the enemy by its name, and draws red lines carefully, but enforces them ruthlessly.
And politicians who treat our common defense as the chief responsibility of our federal government, not just another government program.
This isn't much to ask for, but eight years without it is more than enough. So I say again: In a Trump-Pence administration and with a Republican Congress, help is on the way.
No man wants more war if he's planned memorial services for fallen comrades, carried their flag-draped caskets off a plane, and buried them at Arlington National Cemetery.
But as Washington said: ''To be prepared for war is one of the most effectual means of preserving peace.''
The purpose of our common defense, after all, is to protect our people so that we can enjoy the blessings of peacefaith, freedom, family, prosperity.
